generation,N_shifts,logPrior,logLik,eventRate,acceptRate
157820000,8,35.5229,-3810.35,5.29911,0.258
157830000,9,34.8232,-3795.35,5.12941,0.187
157840000,11,43.8018,-3790.91,6.56921,0.216
157850000,11,48.2378,-3788.93,4.43103,0.223
157860000,8,27.8844,-3818.57,3.86128,0.2515
157870000,10,36.9264,-3807.93,4.96827,0.26
157880000,8,33.0156,-3818.31,3.80039,0.248
157890000,7,22.4822,-3819.69,5.81554,0.228
157900000,7,27.8304,-3816.81,3.46285,0.23
157910000,8,27.8163,-3812.47,3.97718,0.198
157920000,8,35.1383,-3814.1,2.7049,0.201
157930000,10,45.2193,-3805.49,4.57393,0.293
157940000,9,33.8404,-3792.67,5.3206,0.181
157950000,9,35.2461,-3801.39,5.97244,0.167333
157960000,9,34.2899,-3811.33,3.7492,0.24075
157970000,8,26.6495,-3814.7,2.9042,0.2383
157980000,10,36.5248,-3807.37,6.02141,0.284
157990000,10,35.9408,-3796.15,8.18883,0.21
158000000,9,33.3607,-3818.23,6.11821,0.217
158010000,7,21.5163,-3813.14,4.87612,0.187
158020000,11,38.9908,-3807.84,8.46238,0.2325
158030000,9,30.5216,-3808.27,8.18986,0.2194
158040000,10,40.1136,-3802.42,7.43379,0.2473
158050000,7,21.2152,-3813.38,3.61117,0.202
158060000,8,23.6922,-3815.67,6.06361,0.219
158070000,7,26.1188,-3815.11,2.89637,0.204
158080000,11,48.4277,-3796.13,4.03556,0.245
158090000,10,42.2188,-3800.78,5.26494,0.217
158100000,9,40.3673,-3798.05,4.30524,0.238
158110000,11,44.7392,-3787.31,4.59093,0.237
158120000,10,39.308,-3785.24,10.5032,0.203
158130000,11,46.7378,-3810.07,5.04084,0.293
158140000,9,43.4696,-3795.75,3.44993,0.198
158150000,7,25.3933,-3814.75,6.5605,0.217348
158160000,9,33.9386,-3817.95,7.49483,0.213333
158170000,10,48.1805,-3816.42,3.10515,0.326
158180000,11,46.3399,-3813.78,5.54478,0.292
158190000,11,43.0082,-3794.87,6.65437,0.242
158200000,11,46.4184,-3786.28,5.69556,0.226
158210000,12,46.1716,-3788.53,5.70866,0.208
158220000,13,43.2888,-3777.58,11.7554,0.228
158230000,8,26.9729,-3818.04,5.34501,0.226769
158240000,6,22.4392,-3820.75,3.35874,0.2049
158250000,7,30.8494,-3824.04,1.98394,0.250167
158260000,13,50.3369,-3784.04,7.89908,0.235
158270000,15,65.6404,-3781.88,6.91184,0.298
158280000,14,58.251,-3777.58,6.59871,0.234
158290000,14,60.5659,-3778.05,5.65648,0.257
158300000,7,29.0112,-3823.77,6.8221,0.237
158310000,12,54.0421,-3781.37,6.01161,0.232
158320000,11,47.1095,-3782.81,5.18981,0.221
158330000,10,42.256,-3817.33,6.04618,0.25
158340000,9,35.0538,-3818.49,4.54126,0.2485
158350000,12,42.9137,-3785.04,6.89295,0.217
158360000,9,43.6043,-3808.85,6.25863,0.284
158370000,9,32.8555,-3816.08,3.41578,0.23375
158380000,7,22.6898,-3819.41,5.33597,0.189778
158390000,6,21.5596,-3818.29,2.75845,0.192125
158400000,6,22.8523,-3818.99,3.10265,0.234
158410000,13,53.2971,-3793.87,9.22196,0.246
158420000,7,24.0307,-3819,2.70671,0.199
158430000,6,26.5393,-3830.77,4.10576,0.216
158440000,6,17.8206,-3823.06,5.06007,0.183
158450000,12,47.4778,-3784.45,9.60006,0.249
158460000,8,34.2338,-3817.68,5.06472,0.21705
158470000,9,34.5626,-3813.11,4.9949,0.234429
158480000,7,29.2047,-3819.18,3.10139,0.268
158490000,10,37.7529,-3788.26,4.97685,0.197
158500000,7,31.116,-3812.71,2.67106,0.2038
158510000,7,22.9212,-3825.96,2.5306,0.223667
158520000,10,37.4924,-3794.17,9.363,0.219
158530000,6,26.5116,-3825.72,1.61534,0.246909
158540000,10,42.4407,-3809.9,5.19048,0.285
158550000,9,40.7547,-3807.34,5.33346,0.228
158560000,10,45.8984,-3796.1,4.62017,0.221
