0.8395	
Hymenochaonia_sp2_USNMENT01322244	BRAC	0.00772
Hypomicrogaster_zonaria_USNMENT01322460	BRAC	0.00772
Ichneutes_sp1_USNMENT01322581	BRAC	0.00772
Leiophron_incerta_USNMENT01322473	BRAC	0.00772
Leiophron_sp1_USNMENT01322568	BRAC	0.00772
Leluthia_mexicana_USNMENT01322436	BRAC	0.00772
Liobracon_aquilonius_USNMENT01322616	BRAC	0.00772
Lysaphidus_sp1_USNMENT01322495	BRAC	0.00772
Lysiphlebus_sp1_USNMENT01322546	BRAC	0.00772
Macrocentrus_spA_USNMENT01322585	BRAC	0.00772
Meteorus_sp6_USNMENT01322447	BRAC	0.00772
Microctonus_sp4_USNMENT01322570	BRAC	0.00772
Microgaster_sp1_USNMENT01322451	BRAC	0.00772
Microplitis_sp2_USNMENT01322587	BRAC	0.00772
Monoctonus_sp1_USNMENT01322621	BRAC	0.00772
Nealiolus_sp1_USNMENT01322551	BRAC	0.00772
Bolivar_ornaticornis_USNMENT01322438	BRAC	0.00772
Notiospathius_terminalis_USNMENT01322437	BRAC	0.00772
Odontobracon_montanus_USNMENT01322564	BRAC	0.00772
Oenonogastra_sp1_USNMENT01322540	BRAC	0.00772
Oligoneurus_sp1_USNMENT01322580	BRAC	0.00772
Oncophanes_sp_USNMENT01322606	BRAC	0.00772
Dolopsidea_carinata_USNMENT01322605	BRAC	0.00772
Ontsira_sp1_USNMENT01322565	BRAC	0.00772
Opius_sp27_USNMENT01322597	BRAC	0.00772
Opius_sp5_USNMENT01322595	BRAC	0.00772
Orgilus_sp1_USNMENT01322598	BRAC	0.00772
Orgilus_sp4_USNMENT01322453	BRAC	0.00772
Orthostigma_sp1_USNMENT01322428	BRAC	0.00772
Pambolus_sp1_USNMENT01322600	BRAC	0.00772
Parahormius_sp1_USNMENT01322243	BRAC	0.00772
Paroligoneurus_sp1_USNMENT01322443	BRAC	0.00772
Pauesia_sp1_USNMENT01322547	BRAC	0.00772
Pentapleura_foveolata_USNMENT01322541	BRAC	0.00772
Perilitus_rutilus_USNMENT01322571	BRAC	0.00772
Peristenus_sp1_USNMENT01322569	BRAC	0.00772
Phaenocarpa_sp2_USNMENT01322542	BRAC	0.00772
Phanerotoma_sp1_USNMENT01322469	BRAC	0.00772
Pholetesor_sp1_USNMENT01322588	BRAC	0.00772
Pioscelus_borealis_USNMENT01322491	BRAC	0.00772
Polemochartus_liparae_USNMENT01322615	BRAC	0.00772
Polystenidea_parksi_USNMENT01322620	BRAC	0.00772
Praon_sp1_USNMENT01322430	BRAC	0.00772
Proterops_sp_proteroptoides_USNMENT01322444	BRAC	0.00772
Pseudognaptodon_sp1_USNMENT01322474	BRAC	0.00772
