Species,State
Anthophora_plumipes,"1
    "
Anthophora_pacifica,"1
    "
Anthophora_abrupta,"1
    "
Amegilla_dawsoni,"1
    "
Habropoda_laboriosa,"1
    "
Ericrocis_lata,"4
    "
Leiopodus_singularis,"4
    "
Kelita_toroi,"4
    "
Epeolus_compactus,"4
    "
Epeolus_pusillus,4
